symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQU3,-2,0,0.25,17923523407,17923523379,2,15247.50,15248.50,$40.00,09/07/2023 11:40:32,09/07/2023 11:40:09,23sec
NQU3,-2,0,0.25,17923523415,17923523379,7,15247.75,15248.50,$105.00,09/07/2023 11:40:33,09/07/2023 11:40:09,24sec
NQU3,-2,0,0.25,17923523467,17923523429,5,15244.50,15245.00,$50.00,09/07/2023 11:41:22,09/07/2023 11:40:46,35sec
NQU3,-2,0,0.25,17923523475,17923523429,5,15244.75,15245.00,$25.00,09/07/2023 11:41:22,09/07/2023 11:40:46,35sec
NQU3,-2,0,0.25,17923523504,17923523486,10,15236.25,15235.50,$(150.00),09/07/2023 11:41:42,09/07/2023 11:41:37,5sec
NQU3,-2,0,0.25,17923523550,17923523515,1,15231.00,15231.75,$15.00,09/07/2023 11:43:09,09/07/2023 11:41:55,1min 13sec
NQU3,-2,0,0.25,17923523558,17923523515,9,15231.25,15231.75,$90.00,09/07/2023 11:43:09,09/07/2023 11:41:55,1min 13sec
NQU3,-2,0,0.25,17923523593,17923523572,10,15232.00,15231.25,$(150.00),09/07/2023 11:44:37,09/07/2023 11:44:30,6sec
NQU3,-2,0,0.25,17923523672,17923523604,10,15224.75,15228.25,$700.00,09/07/2023 11:49:14,09/07/2023 11:45:38,3min 36sec
NQU3,-2,0,0.25,17923523763,17923523686,10,15216.00,15219.50,$700.00,09/07/2023 11:51:57,09/07/2023 11:49:41,2min 16sec
NQU3,-2,0,0.25,17923523774,17923523851,10,15246.25,15238.00,"$(1,650.00)",09/07/2023 13:10:44,09/07/2023 13:13:41,2min 57sec
NQU3,-2,0,0.25,17923523899,17923523862,10,15239.25,15238.00,$(250.00),09/07/2023 13:15:32,09/07/2023 13:13:42,1min 49sec
NQU3,-2,0,0.25,17923523910,17923523934,2,15257.00,15257.50,$20.00,09/07/2023 13:17:06,09/07/2023 13:17:35,28sec
NQU3,-2,0,0.25,17923523910,17923523942,8,15257.00,15257.00,$0.00,09/07/2023 13:17:06,09/07/2023 13:17:35,28sec
